,id,date,city,pop,shop,brand,container,capacity,price,quantity,Comp
0,0,31/01/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,13280,0.96
1,1,31/01/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,6727,2.86
2,2,31/01/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,9848,0.87
3,3,31/01/12,Assam,672130,Dealer_1,Mango,Tetra pak,200ml,10,20050,1
5,5,31/01/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,15041,1
6,6,31/01/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,34578,0.43
7,7,31/01/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,44734,0.49
8,8,31/01/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,18623,0.7
10,10,31/01/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,19818,0.52
11,11,31/01/12,Arunanchal,134219,Dealer_2,Apple,plastic,600ml,35,8943,1.51
12,12,31/01/12,Arunanchal,134219,Dealer_2,Zeera cola,plastic,200ml,12,15073,1.62
13,13,31/01/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,11174,0.91
14,14,31/01/12,Arunanchal,134219,Dealer_2,Mango,Tetra pak,200ml,10,21063,1
15,15,31/01/12,Arunanchal,134219,Dealer_2,Litchi,plastic,250ml,15,21720,0.88
17,17,31/01/12,Arunanchal,134219,Dealer_2,Mango,plastic,600ml,35,41378,0.58
19,19,31/01/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,49688,0.26
20,20,31/01/12,Arunanchal,134219,Dealer_2,Lemon,plastic,600ml,20,18582,0.89
22,22,31/01/12,Arunanchal,134219,Dealer_2,Lemon,plastic,250ml,10,29015,0.41
23,23,31/01/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,17474,1.11
25,25,31/01/12,Nagaland,164250,Dealer_6,Zeera cola,can,300ml,20,26782,0.57
26,26,31/01/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,19841,1.17
27,27,31/01/12,Nagaland,164250,Dealer_6,Club soda,plastic,600ml,20,14917,2.77
29,29,31/01/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,30586,1.65
30,30,31/01/12,Nagaland,164250,Dealer_6,Litchi,can,200ml,10,66314,0.33
32,32,31/01/12,Nagaland,164250,Dealer_6,Mango,plastic,1.2lt,65,47386,0.73
33,33,31/01/12,Nagaland,164250,Dealer_6,Mango,plastic,250ml,15,77667,0.21
35,35,31/01/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,17127,0.68
36,36,31/01/12,Manipur,346502,Dealer_4,Zeera cola,plastic,200ml,12,11306,2.8
